UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,ano,Unidade da Federação,Tipo,dado,escala
14,530879,17,0.0,0.03617891442734944,0.1109290038811428,2017,Roraima,Estado,srag,incidência
14,530879,18,0.0,0.07612628202892124,0.1752079588156108,2017,Roraima,Estado,srag,incidência
14,530879,19,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,20,0.0,0.11110591760653987,0.272762805832542,2017,Roraima,Estado,srag,incidência
14,530879,21,0.0,0.11046254549768464,0.2716251950904696,2017,Roraima,Estado,srag,incidência
14,530879,22,0.03914888148445495,0.2546076077866979,0.5147398775695142,2017,Roraima,Estado,srag,incidência
14,530879,23,0.016126718257615247,0.25335976318854625,0.5459791261799898,2017,Roraima,Estado,srag,incidência
14,530879,24,0.022078329072389158,0.11570539808047807,0.2179091366076256,2017,Roraima,Estado,srag,incidência
14,530879,25,0.0,0.07488057051220197,0.1722150544224823,2017,Roraima,Estado,srag,incidência
14,530879,26,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,27,0.0,0.03617891442734944,0.1109290038811428,2017,Roraima,Estado,srag,incidência
14,530879,28,0.0,0.07488057051220197,0.1722150544224823,2017,Roraima,Estado,srag,incidência
14,530879,29,0.022078329072389158,0.11570539808047807,0.2179091366076256,2017,Roraima,Estado,srag,incidência
14,530879,30,0.0,0.14081157445730907,0.3675118451490131,2017,Roraima,Estado,srag,incidência
14,530879,31,0.0,0.07553382200673031,0.1738109863711672,2017,Roraima,Estado,srag,incidência
14,530879,32,0.0,0.13790844853218065,0.35778902709793736,2017,Roraima,Estado,srag,incidência
14,530879,33,0.0,0.03798080334527043,0.11665704182528967,2017,Roraima,Estado,srag,incidência
14,530879,34,0.0,0.037350360585402635,0.11465070405007614,2017,Roraima,Estado,srag,incidência
14,530879,35,0.011808098418721658,0.2805587883959464,0.6206935021580293,2017,Roraima,Estado,srag,incidência
14,530879,36,0.0,0.037350360585402635,0.11465070405007614,2017,Roraima,Estado,srag,incidência
14,530879,37,0.0,0.06998696681853267,0.2216850673838997,2017,Roraima,Estado,srag,incidência
14,530879,38,0.0,0.03798080334527043,0.11665704182528967,2017,Roraima,Estado,srag,incidência
14,530879,39,0.0,0.16607624886879324,0.4594863609693125,2017,Roraima,Estado,srag,incidência
14,530879,40,0.0,0.10869793372943937,0.2669998861672138,2017,Roraima,Estado,srag,incidência
14,530879,41,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,42,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,43,0.0,0.03617891442734944,0.1109290038811428,2017,Roraima,Estado,srag,incidência
14,530879,44,0.0,0.03617891442734944,0.1109290038811428,2017,Roraima,Estado,srag,incidência
14,530879,45,0.0,0.06791376141151506,0.21469172771969647,2017,Roraima,Estado,srag,incidência
14,530879,46,0.0,0.07488057051220197,0.1722150544224823,2017,Roraima,Estado,srag,incidência
14,530879,47,0.0,0.1388311758537646,0.364494127729494,2017,Roraima,Estado,srag,incidência
14,530879,48,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,49,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,50,0.0,0.17370993337653307,0.4297586657289987,2017,Roraima,Estado,srag,incidência
14,530879,51,0.0,0.06791376141151506,0.21469172771969647,2017,Roraima,Estado,srag,incidência
14,530879,52,0.0,0.06791376141151506,0.21469172771969647,2017,Roraima,Estado,srag,incidência
15,8457229,1,0.0037965051398023424,0.0152439046497157,0.026821851491551918,2017,Pará,Estado,srag,incidência
15,8457229,2,0.0,0.009087410132100128,0.020588463519903618,2017,Pará,Estado,srag,incidência
15,8457229,3,0.003165804940471251,0.009162459881424612,0.015194961210187152,2017,Pará,Estado,srag,incidência
15,8457229,4,0.0,0.02712064741216258,0.058995324026686724,2017,Pará,Estado,srag,incidência
15,8457229,5,0.0,0.009161589965865913,0.020689563953530055,2017,Pará,Estado,srag,incidência
15,8457229,6,0.0038502158578088697,0.015206391605080416,0.026691035450048032,2017,Pará,Estado,srag,incidência
15,8457229,7,0.0,0.033128213050789716,0.07233227814564125,2017,Pará,Estado,srag,incidência
15,8457229,8,0.016696557820700446,0.03199694617691403,0.06131830139138126,2017,Pará,Estado,srag,incidência
15,8457229,9,0.010787995369160794,0.02544623470443452,0.06002142552676476,2017,Pará,Estado,srag,incidência
15,8457229,10,0.02233369064383236,0.04393750562704799,0.08643911261751082,2017,Pará,Estado,srag,incidência
15,8457229,11,0.08787537214260989,0.11411382088702225,0.1481867308203543,2017,Pará,Estado,srag,incidência
15,8457229,12,0.02088400596370157,0.06876591254377608,0.2264292940826242,2017,Pará,Estado,srag,incidência
15,8457229,13,0.02999906378802105,0.11314136858410095,0.4267122926081097,2017,Pará,Estado,srag,incidência
15,8457229,14,0.05864801035056288,0.17067745391508832,0.4967055676878136,2017,Pará,Estado,srag,incidência
15,8457229,15,0.05672032988104717,0.18302992478239727,0.5906163352030127,2017,Pará,Estado,srag,incidência
15,8457229,16,0.027787965289898648,0.1149816690972268,0.4757737419943489,2017,Pará,Estado,srag,incidência
15,8457229,17,0.02332236885553471,0.09068898793775816,0.35264396100240314,2017,Pará,Estado,srag,incidência
15,8457229,18,0.04813369757429043,0.13395651288798446,0.3728021791264448,2017,Pará,Estado,srag,incidência
15,8457229,19,0.10515383232997157,0.19155063895086685,0.3489330485583004,2017,Pará,Estado,srag,incidência
15,8457229,20,0.06988124083875062,0.13858079947938914,0.2748182166464521,2017,Pará,Estado,srag,incidência
15,8457229,21,0.04319652699662871,0.09374028843769447,0.20342472618384252,2017,Pará,Estado,srag,incidência
15,8457229,22,0.052639952069001066,0.10523373775401576,0.21037518322898252,2017,Pará,Estado,srag,incidência
15,8457229,23,0.03790491726428645,0.07610199210389057,0.15279055120474608,2017,Pará,Estado,srag,incidência
15,8457229,24,0.03089159339881097,0.07610199210389057,0.187478616833133,2017,Pará,Estado,srag,incidência
15,8457229,25,0.011236271511685192,0.03379499675443852,0.1016441979392166,2017,Pará,Estado,srag,incidência
15,8457229,26,0.013107007270791782,0.046859536513241255,0.16752994157018905,2017,Pará,Estado,srag,incidência
15,8457229,27,0.013971001259565116,0.04249495867505729,0.1292549817471735,2017,Pará,Estado,srag,incidência
15,8457229,28,0.010306063070734063,0.03106850817730772,0.09365867390278694,2017,Pará,Estado,srag,incidência
15,8457229,29,0.02253806821961757,0.027343758691510043,0.03317414483326192,2017,Pará,Estado,srag,incidência
15,8457229,30,0.021812629534761364,0.03598641023034023,0.05937027075083011,2017,Pará,Estado,srag,incidência
15,8457229,31,0.0,0.018083655248418703,0.04096817399084296,2017,Pará,Estado,srag,incidência
15,8457229,32,0.014823032218954757,0.03379499675443852,0.0770491346684157,2017,Pará,Estado,srag,incidência
15,8457229,33,0.009298640784586,0.02544623470443452,0.06963500103224995,2017,Pará,Estado,srag,incidência
15,8457229,34,0.0,0.02986436931437875,0.0695444061209678,2017,Pará,Estado,srag,incidência
15,8457229,35,0.014596842969741588,0.03494221212022885,0.08364536019097031,2017,Pará,Estado,srag,incidência
15,8457229,36,0.0,0.06397536834147144,0.15595482153219153,2017,Pará,Estado,srag,incidência
15,8457229,37,0.0,0.047108647116826274,0.11210765400627,2017,Pará,Estado,srag,incidência
15,8457229,38,0.0,0.050104480289287164,0.12088667218447854,2017,Pará,Estado,srag,incidência
15,8457229,39,0.0,0.04771767314691977,0.10509437446332992,2017,Pará,Estado,srag,incidência
15,8457229,40,0.0,0.05637814398482166,0.16679107532029105,2017,Pará,Estado,srag,incidência
15,8457229,41,0.0012988909888849154,0.030353264257857226,0.06025069908781777,2017,Pará,Estado,srag,incidência
15,8457229,42,0.0,0.04499000309248835,0.09666095879756507,2017,Pará,Estado,srag,incidência
15,8457229,43,0.0,0.040790007161526136,0.10805906611992457,2017,Pará,Estado,srag,incidência
15,8457229,44,0.0,0.06414099290529518,0.1574723924612098,2017,Pará,Estado,srag,incidência
15,8457229,45,0.002093930010848233,0.059784710962815124,0.12079676361115065,2017,Pará,Estado,srag,incidência
15,8457229,46,0.0,0.0297481047070296,0.07344333842208295,2017,Pará,Estado,srag,incidência
15,8457229,47,0.0,0.04369613465464739,0.11758848188002613,2017,Pará,Estado,srag,incidência
15,8457229,48,0.0,0.04519450309498252,0.100337679203667,2017,Pará,Estado,srag,incidência
15,8457229,49,0.0,0.03496711073093062,0.09829995905139488,2017,Pará,Estado,srag,incidência
15,8457229,50,0.0,0.03852903449393641,0.09265597332432418,2017,Pará,Estado,srag,incidência
15,8457229,51,0.0,0.018205545065309803,0.03868592928207093,2017,Pará,Estado,srag,incidência
15,8457229,52,0.0,0.041317738563702015,0.10126510698317248,2017,Pará,Estado,srag,incidência
16,812961,1,0.0,0.0,0.0,2017,Amapá,Estado,srag,incidência
16,812961,2,0.0,0.0,0.0,2017,Amapá,Estado,srag,incidência
16,812961,3,0.0,0.022933029747538303,0.06941768782915303,2017,Amapá,Estado,srag,incidência
16,812961,4,0.0,0.0,0.0,2017,Amapá,Estado,srag,incidência
16,812961,5,0.0,0.04355121292281061,0.1344884639454733,2017,Amapá,Estado,srag,incidência
16,812961,6,0.0,0.0,0.0,2017,Amapá,Estado,srag,incidência
16,812961,7,0.0,0.0,0.0,2017,Amapá,Estado,srag,incidência
16,812961,8,0.0,0.022933029747538303,0.06941768782915303,2017,Amapá,Estado,srag,incidência
16,812961,9,0.0,0.06468461343419185,0.15905051580137775,2017,Amapá,Estado,srag,incidência
16,812961,10,0.0,0.06468461343419185,0.15905051580137775,2017,Amapá,Estado,srag,incidência
16,812961,11,0.0,0.07955210380719757,0.25429555339564497,2017,Amapá,Estado,srag,incidência
16,812961,12,0.0,0.0,0.0,2017,Amapá,Estado,srag,incidência
16,812961,13,0.0,0.038672332136221683,0.11886052984733485,2017,Amapá,Estado,srag,incidência
16,812961,14,0.010870661368292732,0.2016798971601053,0.4285057727208217,2017,Amapá,Estado,srag,incidência
16,812961,15,0.045458692554246616,0.24999636549894744,0.4945505976358833,2017,Amapá,Estado,srag,incidência
16,812961,16,0.0,0.08382694628809895,0.21850678200274887,2017,Amapá,Estado,srag,incidência
